Keycode,period,ECHO_PREP_CT_15_19_FEMININO,ECHO_PREP_CT_20_24_FEMININO,ECHO_PREP_CT_25_29_FEMININO,ECHO_PREP_CT_30_34_FEMININO,ECHO_PREP_CT_35_39_FEMININO,ECHO_PREP_CT_40_44_FEMININO,ECHO_PREP_CT_45_49_FEMININO,ECHO_PREP_CT_50_FEMININO,ECHO_PREP_CT_MASCULINO_UNKNOWN AGE,ECHO_PREP_CT_15_19_MASCULINO,ECHO_PREP_CT_20_24_MASCULINO,ECHO_PREP_CT_25_29_MASCULINO,ECHO_PREP_CT_30_34_MASCULINO,ECHO_PREP_CT_35_39_MASCULINO,ECHO_PREP_CT_40_44_MASCULINO,ECHO_PREP_CT_45_49_MASCULINO,ECHO_PREP_CT_50_MASCULINO,ECHO_PREP_CT_FEMININO_UNKNOWN AGE,ECHO_PREP_CT_KP_PID(PWID),ECHO_PREP_CT_KP_HSH,ECHO_PREP_CT_KP_TG,ECHO_PREP_CT_KP_MTS(FSW),ECHO_PREP_CT_KP_REC,ECHO_PREP_CT_KP_AHDJ,ECHO_PREP_CT_KP_AR,ECHO_PREP_CT_KP_CLC,ECHO_PREP_CT_KP_HTS,ECHO_PREP_CT_KP_MIL,ECHO_PREP_CT_KP_MIN,ECHO_PREP_CT_KP_SD,ECHO_PREP_CT_KP_Mulheres Gravidas,ECHO_PREP_CT_KP_Mulheres Lactantes,ECHO MOZ | PREP_CT Test Result (Positive),ECHO MOZ | PREP_CT Test Result (Negative),ECHO MOZ | PREP_CT Test Result (Other)
200499,2022Q3,0,7,12,11,9,9,3,4,,0,6,7,5,6,10,4,9,,0,7,0,6,0,1,0,0,0,0,0,88,0,0,0,65,104
338288,2022Q3,0,0,4,1,0,0,2,1,,2,1,3,3,0,1,0,0,,0,0,0,2,0,2,0,0,0,0,5,8,0,1,0,24,2
201696,2022Q3,3,28,16,15,5,4,4,0,,9,14,14,10,4,4,1,6,,0,15,0,22,0,10,0,3,0,3,1,83,0,0,0,56,36
200527,2022Q3,6,16,11,8,1,3,3,0,,3,8,2,5,2,1,0,1,,0,0,0,8,0,24,0,0,0,1,8,20,5,4,0,19,37
200522,2022Q3,1,1,,4,2,1,,,,,1,3,2,2,,1,2,,,,,,,,,,,,,19,1,,0,7,4
200536,2022Q3,0,4,12,5,7,5,5,1,,0,0,1,2,0,1,4,1,,0,0,0,11,0,0,1,0,0,0,0,36,0,0,1,39,19
200566,2022Q3,,1,3,4,8,5,1,1,,,,,,3,,2,3,,,,,11,,,,,,,,20,,,0,16,7
200525,2022Q3,1,3,5,6,,1,,,,1,1,1,,1,,1,,,,,,8,,,1,1,,1,1,9,,,0,8,18
200937,2022Q3,0,11,6,7,7,3,1,1,,0,7,9,7,5,3,1,1,,0,0,0,3,0,10,0,0,1,0,5,46,4,0,0,110,61
200552,2022Q3,4,18,17,12,5,6,3,1,,,6,5,3,5,2,2,3,,,,,13,,4,13,,,,2,58,1,1,0,11,11
200532,2022Q3,0,6,3,1,0,0,0,0,,0,1,0,2,0,0,0,0,,0,0,0,2,0,2,4,2,0,0,0,3,0,0,0,42,4
200500,2022Q3,39,140,100,59,16,8,2,2,,1,0,4,7,3,0,0,2,,0,0,0,292,0,24,0,0,0,1,5,61,0,0,0,316,50
200563,2022Q3,3,8,5,3,8,2,0,0,,0,1,2,2,1,1,0,1,,0,0,0,22,0,0,0,0,0,0,0,15,0,0,0,18,14
200528,2022Q3,4,33,11,8,3,3,0,0,,2,0,3,6,6,3,1,2,,0,0,0,50,0,0,0,0,0,0,3,32,0,0,1,4,56
200502,2022Q3,1,0,1,1,1,0,0,0,,0,0,0,0,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,4
200531,2022Q3,,1,2,4,1,1,,2,,,,,1,4,,,2,,,,,1,,,1,1,,,,15,,,0,17,13
200524,2022Q3,,1,,1,2,,,,,,,1,1,1,2,,,,,,,2,,,,,,,2,5,,,0,0,1
200549,2022Q3,0,2,8,4,5,3,0,0,,0,3,4,2,2,2,0,3,,0,0,0,6,0,0,0,1,0,0,3,28,0,0,0,10,72
200521,2022Q3,0,0,2,0,1,1,0,0,,0,0,0,1,2,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,3
200557,2022Q3,0,2,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,15,30
200517,2022Q3,,2,,2,1,1,,2,,,1,1,2,,,,,,,,,1,,1,,,,,,10,,,0,37,17
398330,2022Q3,,,7,7,3,5,1,,,,1,1,2,1,1,2,1,,,,,4,,,,,,,,24,4,,0,25,11
200936,2022Q3,40,93,54,25,13,13,1,2,,16,28,20,23,8,15,4,0,,0,32,0,104,0,41,0,36,0,4,0,79,26,0,0,159,12
200939,2022Q3,11,46,85,26,15,5,2,1,,,5,18,30,8,7,1,2,,,5,,135,,41,,18,,,32,29,2,,0,189,40
200938,2022Q3,6,24,20,13,11,0,0,5,,0,2,8,11,1,3,2,2,,0,5,0,39,0,1,0,2,0,0,2,58,0,0,0,130,87
